CHEM 112B  - BIOPHYSIC CHEMISTRY,4.0,Optional,TR,11:00 AM-12:15 PM,"Arts Building, 1349",BURATTO S K,Space 7,Max 48,05538
CHEM 113B  - PHYSICAL CHEMISTRY,4.0,Optional,MW,9:30 AM-10:45 AM,"North Hall, 1105",BOWERS M T,Space Full,Max 65,05579
CHEM 115B  - FUNDS QUANTUM CHEM,3.0,Optional,MW,12:30 PM-1:45 PM,"Girvetz Hall, 1106",METIU H I,Space 3,Max 5,05678
CHEM 116AL - QUANT ANALYTIC LAB,3.0,Optional,F,12:00 PM-12:50 PM,"Chemistry Building, 1171",LAVERMAN L E,Space 3,Max 80,05686
CHEM 125L  - BIOCHEMISTRY LAB,4.0,Letter Graded,M,2:00 PM-2:50 PM,"Phelps Hall, 1508",WALKER F M,Space 15,Max 48,05777
CHEM 130B  - ORGANIC CHEM MAJORS,4.0,Optional,MWF,9:00 AM-9:50 AM,"Buchanan Hall, 1940",YANG Y,Space 15,Max 50,56143
CHEM 142B  - BIOCHEMISTRY,3.0,Optional,MWF,10:00 AM-10:50 AM,"Phelps Hall, 1160",GREENE B L,BAILEY C A,Space 7,Max 60
CHEM 143  - THE RNA WORLD,3.0,Letter Graded,TR,9:30 AM-10:45 AM,"HSSB, 1211",JAEGER L A,Space Full,Max 18,05827
CHEM 162B  - DRUG DESIGN,3.0,Optional,MWF,9:00 AM-9:50 AM,"Phelps Hall, 1444",REICH N O,ROHRER J M,Space 2,Max 25
CHEM 163  - ORG ARROW PUSH,3.0,Letter Graded,TR,12:30 PM-1:45 PM,"Ellison Hall, 2617",ZHANG LIMING,KOHNKE P Q,Space 3,Max 40
CHEM 171  - BIOINORGANIC CHEM,3.0,Letter Graded,MW,11:00 AM-12:15 PM,"Phelps Hall, 2532",BUTLER A,YAN JIN,Space 16,Max 35
CHEM 173B  - ADV INORGANIC CHEM,3.0,Optional,TR,9:30 AM-10:45 AM,"Psychology Building, 1902",ABU-OMAR M,Space 8,Max 50,05850
CHEM 183  - TEACHING ASSISTANCE,1.0-5.0,Pass/No Pass,F,3:00 PM-3:50 PM,"Phelps Hall, 2532",SVADLENAK N D,Space 32,Max 40,05900
CHEM 184  - CHEM LITERATURE,2.0,Optional,TR,2:00 PM-3:15 PM,"Library, 1312",HUBER C F,Space 7,Max 20,05918
CHEM 186  - ORGANOMETALLIC CHEM,3.0,Optional,MW,12:30 PM-1:45 PM,"Ellison Hall, 2626",HAYTON T W,Space 9,Max 20,05926
CHEM 193  - INTERNSHIP CHEM,1.0-4.0,Pass/No Pass,T.B.A.,T.B.A.,T.B.A.,T.B.A.,FELDWINN D L,Space 16,Max 20
CHEM 196  - SPECIAL TOPICS,1.0-4.0,Optional,TR,11:00 AM-12:15 PM,"North Hall, 1006",VLCEK V,Space 1,Max 30,05942
CHEM 198  - IND STUD CHEM ED,1.0-5.0,Optional,T.B.A.,T.B.A.,T.B.A.,T.B.A.,REICH N O,Space 15,Max 15
CHEM 199  - INDEPENDENT STUDIES,1.0-5.0,Optional,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space 50,Max 50,05959
CHEM CS 199  - INDEPENDENT STUDIES,1.0-6.0,Pass/No Pass,T.B.A.,T.B.A.,T.B.A.,T.B.A.,LAVERMAN L E,Space 1,Max 1
CH ST 1B  - INTRO CHICANO/A STD,4.0,Optional,MW,9:30 AM-10:45 AM,"IV Theatre, THEA1",DIAZ-SANCHEZ,Space 10,Max 520,03954
CH ST 99  - IND STUDIES,1.0-4.0,Optional,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space 15,Max 15,04226
CH ST 109  - INDIGENOUS PEOPLE,4.0,Optional,TR,12:30 PM-1:45 PM,"Psychology Building, 1902",BATZ G,Space 2,Max 60,04234
CH ST 127  - ART PRAXIS,4.0,Optional,M,2:00 PM-4:50 PM,"South Hall, 1415",RODRIGUEZ C H,Space 12,Max 25,51953
CH ST 168E  - CHICANO MOVEMENT,4.0,Letter Graded,TR,2:00 PM-3:15 PM,"Phelps Hall, 1440",GARCIA M T,Space Closed,Max 35,52001
CH ST 181  - THE CHICANO NOVEL,4.0,Optional,R,5:00 PM-7:50 PM,"Phelps Hall, 1444",GUTIERREZ-MAG,Space 1,Max 35,04341
